Species,Specimens_n,Body_weight_g,InfOliv_Principal_mm3,InfOliv_AccMed_mm3,InfOliv_AccDors_mm3,Med_plus_Dorsal_mm3,Activity_Time,Diet,Locomotor_Type
Tupaia glis,2,170,0.672,0.774,0.501,1.28,D,Ins.,SAQ
Urogale everetti,1,275,0.661,0.848,0.433,1.28,D,Ins.,SAQ
Microcebus murinus,2,54,0.380,0.282,0.370,0.652,N,Ins.,AQP
Cheirogaleus major,2,450,1.62,1.30,1.31,2.61,N,Fru.,AQP
Cheirogaleus med.,1,177,0.726,0.415,0.610,1.03,N,Fru.,AQP
Lemur fulvus,2,1400,4.46,3.37,3.36,6.73,D,Fol.,AQP
Varecia variegata,1,3000,5.19,7.03,4.95,12.0,D,Fol.,AQP
Lepilemur ruficaud,1,915,1.71,1.67,1.42,3.09,N,Fol.,VCL
Avahi laniger,1,860,2.22,1.71,1.52,3.23,N,Fol.,VCL
Propithecus verr.,2,3480,5.95,6.68,3.52,10.2,D,Fol.,VCL
Indri indri,2,6250,8.94,7.23,4.56,11.8,D,Fol.,VCL
Daubentonia madagas,1,2800,10.7,7.98,5.37,13.4,N,Ins.,AQP
Loris tardigradus,2,322,0.921,1.08,0.844,1.92,N,Ins.,SCQ
Nycticebus coucang,2,800,1.96,1.77,1.41,3.18,N,Ins.,SCQ
Perodicticus potto,2,1150,2.14,3.43,1.95,5.38,N,Fru.,SCQ
Galago senegal.,2,186,0.8000,1.08,0.717,1.80,N,Fru.,VCL
Otolemur crassicaud.,2,850,1.35,2.43,1.47,3.90,N,Fru.,VCL
Galagoides demidoff,2,81,0.436,0.717,0.507,1.22,N,Ins.,VCL
Tarsius spp.,3,125,0.582,1.17,0.551,1.72,N,Ins.,VCL
