"species_row","Species_Baron1996","source_concept","NCBI_id","NCBI_name","candidate_name","resolution_status","merge_eligible","source_rows_same_concept","source_rows_same_candidate","within_source_mean_required","note"
1,"Eidolon helvum","Eidolon helvum","77214","Eidolon helvum","Eidolon helvum","NCBI_exact",TRUE,1,1,FALSE,""
2,"Rousettus aegyptiacus","Rousettus aegyptiacus","9407","Rousettus aegyptiacus","Rousettus aegyptiacus","NCBI_exact",TRUE,1,1,FALSE,""
3,"R. amplexicaud. brachyotis §)","Rousettus amplexicaudatus","58083","Rousettus amplexicaudatus","Rousettus amplexicaudatus","NCBI_exact",TRUE,2,2,TRUE,"Expanded abbreviated source label; species-level concept retained."
4,"R. ampl. stresemanni §)","Rousettus amplexicaudatus","58083","Rousettus amplexicaudatus","Rousettus amplexicaudatus","NCBI_exact",TRUE,2,2,TRUE,"Expanded abbreviated source label; species-level concept retained."
5,"Myonycteris torquata","Myonycteris torquata","77243","Myonycteris torquata","Myonycteris torquata","NCBI_exact",TRUE,1,1,FALSE,""
6,"Pteropus alecto","Pteropus alecto","9402","Pteropus alecto","Pteropus alecto","NCBI_exact",TRUE,1,1,FALSE,""
7,"Pteropus conspicillatus","Pteropus conspicillatus","328804","Pteropus conspicillatus","Pteropus conspicillatus","NCBI_exact",TRUE,1,1,FALSE,""
8,"Pteropus hypomelanus","Pteropus hypomelanus","9405","Pteropus hypomelanus","Pteropus hypomelanus","NCBI_exact",TRUE,1,1,FALSE,""
9,"Pteropus lylei","Pteropus lylei","166054","Pteropus lylei","Pteropus lylei","NCBI_exact",TRUE,1,1,FALSE,""
10,"Pteropus mahaganus","Pteropus mahaganus","1496129","Pteropus mahaganus","Pteropus mahaganus","NCBI_exact",TRUE,1,1,FALSE,""
11,"Pteropus neohibernicus","Pteropus neohibernicus","170224","Pteropus neohibernicus","Pteropus neohibernicus","NCBI_exact",TRUE,1,1,FALSE,""
12,"Pteropus poliocephalus","Pteropus poliocephalus","9403","Pteropus poliocephalus","Pteropus poliocephalus","NCBI_exact",TRUE,1,1,FALSE,""
13,"Pteropus samoensis","Pteropus samoensis","170230","Pteropus samoensis","Pteropus samoensis","NCBI_exact",TRUE,1,1,FALSE,""
14,"Pteropus scapulatus","Pteropus scapulatus","94117","Pteropus scapulatus","Pteropus scapulatus","NCBI_exact",TRUE,1,1,FALSE,""
15,"Pteropus temmincki","Pteropus temmincki","9404","Pteropus temminckii","Pteropus temminckii","NCBI_exact",TRUE,1,1,FALSE,""
16,"Pteropus tonganus","Pteropus tonganus","77217","Pteropus tonganus","Pteropus tonganus","NCBI_exact",TRUE,1,1,FALSE,""
17,"Pteropus vampyrus","Pteropus vampyrus","132908","Pteropus vampyrus","Pteropus vampyrus","NCBI_exact",TRUE,1,1,FALSE,""
18,"Dobsonia inermis","Dobsonia inermis","170214","Dobsonia inermis","Dobsonia inermis","NCBI_exact",TRUE,1,1,FALSE,""
19,"D. moluccensis magna §)","Dobsonia moluccensis","42147","Dobsonia moluccensis","Dobsonia moluccensis","NCBI_exact",TRUE,2,2,TRUE,"Expanded abbreviated source label; species-level concept retained."
20,"D. molucc. anderseni §)","Dobsonia moluccensis","42147","Dobsonia moluccensis","Dobsonia moluccensis","NCBI_exact",TRUE,2,2,TRUE,"Expanded abbreviated source label; species-level concept retained."
21,"Dobsonia praedatrix","Dobsonia praedatrix","170217","Dobsonia praedatrix","Dobsonia praedatrix","NCBI_exact",TRUE,1,1,FALSE,""
22,"Hypsignathus monstrosus","Hypsignathus monstrosus","448084","Hypsignathus monstrosus","Hypsignathus monstrosus","NCBI_exact",TRUE,1,1,FALSE,""
23,"Epomops franqueti","Epomops franqueti","77231","Epomops franqueti","Epomops franqueti","NCBI_exact",TRUE,1,1,FALSE,""
24,"Epomophorus labiatus","Epomophorus labiatus","903567","Epomophorus labiatus","Epomophorus labiatus","NCBI_exact",TRUE,1,1,FALSE,""
25,"Micropteropus pusillus","Micropteropus pusillus","2853157","Epomophorus pusillus","Epomophorus pusillus","NCBI_exact",TRUE,1,1,FALSE,""
26,"Scotonycteris zenkeri","Scotonycteris zenkeri","1001563","Scotonycteris zenkeri","Scotonycteris zenkeri","NCBI_exact",TRUE,1,1,FALSE,""
27,"Casinycteris argynnis","Casinycteris argynnis","1091509","Casinycteris argynnis","Casinycteris argynnis","NCBI_exact",TRUE,1,1,FALSE,""
28,"Cynopterus brachyotis","Cynopterus brachyotis","58060","Cynopterus brachyotis","Cynopterus brachyotis","NCBI_exact",TRUE,1,1,FALSE,""
29,"Cynopterus horsfieldi","Cynopterus horsfieldi","298109","Cynopterus horsfieldii","Cynopterus horsfieldii","NCBI_exact",TRUE,1,1,FALSE,""
30,"Cynopterus sphinx sphinx","Cynopterus sphinx","9400","Cynopterus sphinx","Cynopterus sphinx","NCBI_exact",TRUE,1,1,FALSE,""
31,"Megaerops ecaudatus","Megaerops ecaudatus","298110","Megaerops ecaudatus","Megaerops ecaudatus","NCBI_exact",TRUE,1,1,FALSE,""
32,"Chironax melanocephalus","Chironax melanocephalus","170236","Chironax melanocephalus","Chironax melanocephalus","NCBI_exact",TRUE,1,1,FALSE,""
33,"Sphaerias blanfordi","Sphaerias blanfordi","662898","Sphaerias blanfordi","Sphaerias blanfordi","NCBI_exact",TRUE,1,1,FALSE,""
34,"Balionycteris maculata","Balionycteris maculata","77229","Balionycteris maculata","Balionycteris maculata","NCBI_exact",TRUE,1,1,FALSE,""
35,"Nyctimene albiventer","Nyctimene albiventer","48988","Nyctimene albiventer","Nyctimene albiventer","NCBI_exact",TRUE,1,1,FALSE,""
36,"Nyctimene robinsoni","Nyctimene robinsoni","58079","Nyctimene robinsoni","Nyctimene robinsoni","NCBI_exact",TRUE,1,1,FALSE,""
37,"Nyctimene vizcaccia","Nyctimene vizcaccia","170211","Nyctimene vizcaccia","Nyctimene vizcaccia","NCBI_exact",TRUE,1,1,FALSE,""
38,"Paranyctimene raptor","Paranyctimene raptor","270785","Paranyctimene raptor","Paranyctimene raptor","NCBI_exact",TRUE,1,1,FALSE,""
39,"Eonycteris spelaea","Eonycteris spelaea","58065","Eonycteris spelaea","Eonycteris spelaea","NCBI_exact",TRUE,1,1,FALSE,""
40,"Megaloglossus woermanni","Megaloglossus woermanni","58073","Megaloglossus woermanni","Megaloglossus woermanni","NCBI_exact",TRUE,1,1,FALSE,""
41,"Macroglossus minimus","Macroglossus minimus","29076","Macroglossus minimus","Macroglossus minimus","NCBI_exact",TRUE,1,1,FALSE,""
42,"Macroglossus sobrinus","Macroglossus sobrinus","326083","Macroglossus sobrinus","Macroglossus sobrinus","NCBI_exact",TRUE,1,1,FALSE,""
43,"Syconycteris a. australis §)","Syconycteris australis","58085","Syconycteris australis","Syconycteris australis","NCBI_exact",TRUE,2,2,TRUE,"Expanded abbreviated source label; species-level concept retained."
44,"S. australis papuana §)","Syconycteris australis","58085","Syconycteris australis","Syconycteris australis","NCBI_exact",TRUE,2,2,TRUE,"Expanded abbreviated source label; species-level concept retained."
45,"Melonycteris melanops","Melonycteris melanops","77215","Melonycteris melanops","Melonycteris melanops","NCBI_exact",TRUE,1,1,FALSE,""
46,"Nesonycteris woodfordi","Nesonycteris woodfordi","319527","Melonycteris woodfordi","Melonycteris woodfordi","NCBI_exact",TRUE,1,1,FALSE,""
47,"Notopteris macdonaldi","Notopteris macdonaldi","58078","Notopteris macdonaldi","Notopteris macdonaldi","NCBI_exact",TRUE,1,1,FALSE,""
48,"Rhinopoma hardwickei","Rhinopoma hardwickei",,,"Rhinopoma hardwickii","GBIF_frozen_legacy_map",TRUE,1,1,FALSE,""
49,"Rhinopoma microphyllum","Rhinopoma microphyllum","173903","Rhinopoma microphyllum","Rhinopoma microphyllum","NCBI_exact",TRUE,1,1,FALSE,""
50,"Emballonura monticola","Emballonura monticola","175525","Emballonura monticola","Emballonura monticola","NCBI_exact",TRUE,1,1,FALSE,""
51,"Emballonura raffrayana","Emballonura raffrayana","446908","Emballonura raffrayana","Emballonura raffrayana","NCBI_exact",TRUE,1,1,FALSE,""
52,"Emballonura semicaudata","Emballonura semicaudata","170234","Emballonura semicaudata","Emballonura semicaudata","NCBI_exact",TRUE,1,1,FALSE,""
53,"Coleura afra","Coleura afra","907075","Coleura afra","Coleura afra","NCBI_exact",TRUE,1,1,FALSE,""
54,"Rhynchonycteris naso","Rhynchonycteris naso","249017","Rhynchonycteris naso","Rhynchonycteris naso","NCBI_exact",TRUE,1,1,FALSE,""
55,"Saccopteryx bilineata","Saccopteryx bilineata","59482","Saccopteryx bilineata","Saccopteryx bilineata","NCBI_exact",TRUE,1,1,FALSE,""
56,"Saccopteryx canescens","Saccopteryx canescens","409053","Saccopteryx canescens","Saccopteryx canescens","NCBI_exact",TRUE,1,1,FALSE,""
57,"Saccopteryx leptura","Saccopteryx leptura","249018","Saccopteryx leptura","Saccopteryx leptura","NCBI_exact",TRUE,1,1,FALSE,""
58,"Cormura brevirostris","Cormura brevirostris","249012","Cormura brevirostris","Cormura brevirostris","NCBI_exact",TRUE,1,1,FALSE,""
59,"Peropteryx macrotis","Peropteryx macrotis","249015","Peropteryx macrotis","Peropteryx macrotis","NCBI_exact",TRUE,1,1,FALSE,""
60,"Peropteryx trinitatis","Peropteryx trinitatis","463804","Peropteryx trinitatis","Peropteryx trinitatis","NCBI_exact",TRUE,1,1,FALSE,""
61,"Taphozous australis","Taphozous australis","446905","Taphozous australis","Taphozous australis","NCBI_exact",TRUE,1,1,FALSE,""
62,"Taphozous hildegardeae","Taphozous hildegardeae","1002354","Taphozous hildegardeae","Taphozous hildegardeae","NCBI_exact",TRUE,1,1,FALSE,""
63,"Taphozous mauritianus","Taphozous mauritianus","302395","Taphozous mauritianus","Taphozous mauritianus","NCBI_exact",TRUE,1,1,FALSE,""
64,"Taphozous melanopogon","Taphozous melanopogon","187003","Taphozous melanopogon","Taphozous melanopogon","NCBI_exact",TRUE,1,1,FALSE,""
65,"Taphozous theobaldi","Taphozous theobaldi","2029311","Taphozous theobaldi","Taphozous theobaldi","NCBI_exact",TRUE,1,1,FALSE,""
66,"Taphozous saccolaimus","Taphozous saccolaimus","526813","Saccolaimus saccolaimus","Saccolaimus saccolaimus","NCBI_exact",TRUE,1,1,FALSE,""
67,"Cyttarops alecto","Cyttarops alecto","409020","Cyttarops alecto","Cyttarops alecto","NCBI_exact",TRUE,1,1,FALSE,""
68,"Craseonycteris thonglongyai","Craseonycteris thonglongyai","208972","Craseonycteris thonglongyai","Craseonycteris thonglongyai","NCBI_exact",TRUE,1,1,FALSE,""
69,"Nycteris arge","Nycteris arge","249028","Nycteris arge","Nycteris arge","NCBI_exact",TRUE,1,1,FALSE,""
70,"Nycteris grandis","Nycteris grandis","178896","Nycteris grandis","Nycteris grandis","NCBI_exact",TRUE,1,1,FALSE,""
71,"Nycteris hispida","Nycteris hispida","270766","Nycteris hispida","Nycteris hispida","NCBI_exact",TRUE,1,1,FALSE,""
72,"Nycteris javanica","Nycteris javanica","302404","Nycteris javanica","Nycteris javanica","NCBI_exact",TRUE,1,1,FALSE,""
73,"Nycteris macrotis","Nycteris macrotis","175523","Nycteris macrotis","Nycteris macrotis","NCBI_exact",TRUE,1,1,FALSE,""
74,"Nycteris nana","Nycteris nana",,,"Nycteris nana","GBIF_frozen_legacy_map",TRUE,1,1,FALSE,""
75,"Nycteris thebaica","Nycteris thebaica","59467","Nycteris thebaica","Nycteris thebaica","NCBI_exact",TRUE,1,1,FALSE,""
76,"Nycteris tragata","Nycteris tragata","479723","Nycteris tragata","Nycteris tragata","NCBI_exact",TRUE,1,1,FALSE,""
77,"Megaderma lyra","Megaderma lyra","9413","Megaderma lyra","Megaderma lyra","NCBI_exact",TRUE,1,1,FALSE,""
78,"Megaderma spasma","Megaderma spasma","9414","Megaderma spasma","Megaderma spasma","NCBI_exact",TRUE,1,1,FALSE,""
79,"Macroderma gigas","Macroderma gigas","9411","Macroderma gigas","Macroderma gigas","NCBI_exact",TRUE,1,1,FALSE,""
80,"Cardioderma cor","Cardioderma cor","270764","Cardioderma cor","Cardioderma cor","NCBI_exact",TRUE,1,1,FALSE,""
81,"Lavia frons","Lavia frons","1582325","Lavia frons","Lavia frons","NCBI_exact",TRUE,1,1,FALSE,""
82,"Rhinolophus cornutus","Rhinolophus cornutus","196296","Rhinolophus cornutus","Rhinolophus cornutus","NCBI_exact",TRUE,1,1,FALSE,""
83,"Rhinolophus eloquens","Rhinolophus eloquens","519038","Rhinolophus eloquens","Rhinolophus eloquens","NCBI_exact",TRUE,1,1,FALSE,""
84,"Rhinolophus hipposideros","Rhinolophus hipposideros","77218","Rhinolophus hipposideros","Rhinolophus hipposideros","NCBI_exact",TRUE,1,1,FALSE,""
85,"Rhinolophus landeri","Rhinolophus landeri","519039","Rhinolophus landeri","Rhinolophus landeri","NCBI_exact",TRUE,1,1,FALSE,""
86,"Rhinolophus lepidus","Rhinolophus lepidus","188570","Rhinolophus lepidus","Rhinolophus lepidus","NCBI_exact",TRUE,1,1,FALSE,""
87,"Rhinolophus luctus","Rhinolophus luctus","337453","Rhinolophus luctus","Rhinolophus luctus","NCBI_exact",TRUE,1,1,FALSE,""
88,"Rhinolophus macrotis","Rhinolophus macrotis","196889","Rhinolophus macrotis","Rhinolophus macrotis","NCBI_exact",TRUE,1,1,FALSE,""
89,"Rhinolophus malayanus","Rhinolophus malayanus","608659","Rhinolophus malayanus","Rhinolophus malayanus","NCBI_exact",TRUE,1,1,FALSE,""
90,"Rhinolophus megaphyllus","Rhinolophus megaphyllus","76836","Rhinolophus megaphyllus","Rhinolophus megaphyllus","NCBI_exact",TRUE,2,2,TRUE,""
91,"Rhinolophus megaphyllus ssp.","Rhinolophus megaphyllus","76836","Rhinolophus megaphyllus","Rhinolophus megaphyllus","NCBI_exact",TRUE,2,2,TRUE,""
92,"Rhinolophus paradoxolophus","Rhinolophus paradoxolophus","479477","Rhinolophus paradoxolophus","Rhinolophus paradoxolophus","NCBI_exact",TRUE,1,1,FALSE,""
