"source","Species","specimen_or_common"
"Changizi__2001_Figure3","Aotus trivirgatus","owl monkey"
"Changizi__2001_Figure3","Callithrix jacchus","marmoset"
"Changizi__2001_Figure3","Condylura cristata","star-nosed mole"
"Changizi__2001_Figure3","Dasyurus hallucatus","quoll"
"Changizi__2001_Figure3","Didelphis marsupialis","opossum"
"Changizi__2001_Figure3","Echinops telfairi","tenrec"
"Changizi__2001_Figure3","Erinaceus europaeus","hedgehog"
"Changizi__2001_Figure3","Felis catus","cat"
"Changizi__2001_Figure3","Homo sapiens","human"
"Changizi__2001_Figure3","Macaca mulatta","macaque"
"Changizi__2001_Figure3","Sciurus carolinensis","squirrel"
"Changizi__2001_Figure3","Tachyglossus aculeatus","echidna"
"Collins_etal_2010_DatasetS1","Aotus nancymae","07-78"
"Collins_etal_2010_DatasetS1","Otolemur garnetti","07-104"
"Collins_etal_2010_DatasetS1","Otolemur garnetti","08-07"
"Collins_etal_2010_DatasetS1","Papio cynocephalus anubis","09-27"
"Finlay_etal_2006_Table6.1","Aotus trivirgatus","Owl Monkey"
"Finlay_etal_2006_Table6.1","Blarina brevicauda","Short-tailed Shrew"
"Finlay_etal_2006_Table6.1","Callithrix jacchus","Marmoset"
"Finlay_etal_2006_Table6.1","Cryptotis parva","Least Shrew"
"Finlay_etal_2006_Table6.1","Dactylopsila trivirgata","Striped Possum"
"Finlay_etal_2006_Table6.1","Dasyurus hallucatus","Norhtern Quoll"
"Finlay_etal_2006_Table6.1","Didelphis marsupialis","North American Opossum"
"Finlay_etal_2006_Table6.1","Echinops telfairi","Tenrec"
"Finlay_etal_2006_Table6.1","Erinaceus europaeus","Hedgehog"
"Finlay_etal_2006_Table6.1","Felis catus","Cat"
"Finlay_etal_2006_Table6.1","Galago sp.","Galago"
"Finlay_etal_2006_Table6.1","Macaca mulatta","Rhesus Macaque"
"Finlay_etal_2006_Table6.1","Monodelphis domestica","Short-tailed Possum"
"Finlay_etal_2006_Table6.1","Mus sp.","Mouse"
"Finlay_etal_2006_Table6.1","Pteropus poliocephalus","Flying Fox"
"Finlay_etal_2006_Table6.1","Rattus sp.","Rat"
"Finlay_etal_2006_Table6.1","Saimiri sciureus","Squirrel monkey"
"Finlay_etal_2006_Table6.1","Sciurus carolinensis","Squirrel"
"Finlay_etal_2006_Table6.1","Sminthopsis crassicaudata","Fat-tailed Dunnart"
"Finlay_etal_2006_Table6.1","Sorex cinereus","Masked Shrew"
"Finlay_etal_2006_Table6.1","Sorex longirostris","Southeastern Shrew"
"Finlay_etal_2006_Table6.1","Sorex palustris","Northern Water Shrew"
"Finlay_etal_2006_Table6.1","Trichosurus vulpecula","Brush-tailed Possum"
"Finlay_etal_2006_Table6.1","Tupaia belangeri","Tree Shrew"
"Changizi_Shimojo_2005_Table1","Soricidae sp.","NA"
"Changizi_Shimojo_2005_Table1","Mus musculus","NA"
"Changizi_Shimojo_2005_Table1","Condylura cristata","NA"
"Changizi_Shimojo_2005_Table1","Macroderma gigas","NA"
"Changizi_Shimojo_2005_Table1","Rattus norvegicus","NA"
"Changizi_Shimojo_2005_Table1","Echinops telfairi","NA"
"Changizi_Shimojo_2005_Table1","Tupaia belangeri","NA"
"Changizi_Shimojo_2005_Table1","Atelerix albiventris","NA"
"Changizi_Shimojo_2005_Table1","Dasyurus hallucatus","NA"
"Changizi_Shimojo_2005_Table1","Didelphis marsupialis","NA"
"Changizi_Shimojo_2005_Table1","Mustela putorius furo","NA"
"Changizi_Shimojo_2005_Table1","Sciurus carolinensis","NA"
"Changizi_Shimojo_2005_Table1","Pteropus poliocephalus","NA"
"Changizi_Shimojo_2005_Table1","Callithrix jacchus","NA"
"Changizi_Shimojo_2005_Table1","Ornithorhynchus anatinus","NA"
"Changizi_Shimojo_2005_Table1","Tachyglossus aculeatus","NA"
"Changizi_Shimojo_2005_Table1","Aotus trivirgatus","NA"
"Changizi_Shimojo_2005_Table1","Felis catus","NA"
"Changizi_Shimojo_2005_Table1","Macaca mulatta","NA"
"Young_etal_2013_Table1","Otolemur garnettii","three-animal mean; includes Collins 2010 case 08-07 plus two unresolved galagos"
"Young_etal_2013_Table1","Aotus nancymaae","probable Collins 2010 case 07-78"
"Young_etal_2013_Table1","Saimiri sciureus","single unresolved Vanderbilt squirrel monkey"
"Young_etal_2013_Table1","Macaca nemestrina","two unresolved Washington NPRC macaques"
"Young_etal_2013_Table1","Papio cynocephalus anubis","case 09-27"
"Young_etal_2013_Table1","Papio hamadryas anubis","case 11-31"
