Species_Name,n_sources,Sources
Acrobates pygmaeus,1,Ashwell__2020_SupplementaryTable
Aepyprymnus rufescens,1,Ashwell__2020_SupplementaryTable
Ailurus fulgens,3,Ashwell__2020_SupplementaryTable; Bush_Allman_2003_Table1; Bush_Allman_2004_a_Table2
Alouatta caraya,1,Bauernfeind_etal_2013_Table1
Alouatta palliata,4,Ashwell__2020_SupplementaryTable; Bush_Allman_2003_Table1; Bush_Allman_2004_a_Table2; Bush_Allman_2004_b_TABLE1
Alouatta seniculus,26,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Frahm_etal_1998_Table1; Frahm_Zilles_1994_Table1; MacLeod_etal_2003_Table2; Matano__1986_TableI; Matano__1992_Table2; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Sherwood_etal_2005_Table1; Smaers_etal_2011_SupplementaryTable1; Smaers_etal_2011_SupplementaryTable2; Stephan_etal_1970_Table3; Stephan_etal_1970_Table6; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXVI; Stephan_etal_1982_Table1; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Antechinomys laniger,1,Ashwell__2020_SupplementaryTable
Antechinus flavipes,1,Ashwell__2020_SupplementaryTable
Antechinus minimus,1,Ashwell__2020_SupplementaryTable
Antechinus swainsonii,1,Ashwell__2020_SupplementaryTable
