Species,Variable,Source,Value,priority
Marmosops incanus,Body_Mass.g,DosSantos_etal_2017_TableS1,100,6
Marmosops incanus,WholeBrain_Mass.g,DosSantos_etal_2017_TableS1,0.91,6
Marmosops incanus,CerebralCortex_Mass.g,DosSantos_etal_2017_TableS1,0.408,6
Marmosops incanus,Hippocampus_Mass.g,DosSantos_etal_2017_TableS1,0.06,6
Marmosops incanus,Cerebellum_Mass.g,DosSantos_etal_2017_TableS1,0.158,6
Marmosops incanus,RoB_Mass.g,DosSantos_etal_2017_TableS1,0.344,6
Marmosops incanus,DiencephalonStriatum_Mass.g,DosSantos_etal_2017_TableS1,0.104,6
Marmosops incanus,Mesencephalon_Mass.g,DosSantos_etal_2017_TableS1,0.092,6
Marmosops incanus,MesencephalonDiencephalonStriatum_Mass.g,DosSantos_etal_2017_TableS1,0.196,6
Marmosops incanus,PonsMedulla_Mass.g,DosSantos_etal_2017_TableS1,0.148,6
Marmosops incanus,OlfactoryBulb_Mass.g,DosSantos_etal_2017_TableS1,0.084,6
Marmosops incanus,WholeBrain_N.n,DosSantos_etal_2017_TableS1,112050000,6
Marmosops incanus,CerebralCortex_N.n,DosSantos_etal_2017_TableS1,20410000,6
Marmosops incanus,CerebralCortexGrey_N.n,DosSantos_etal_2017_TableS1,NA,6
Marmosops incanus,Hippocampus_N.n,DosSantos_etal_2017_TableS1,2580000,6
Marmosops incanus,Cerebellum_N.n,DosSantos_etal_2017_TableS1,82400000,6
Marmosops incanus,RoB_N.n,DosSantos_etal_2017_TableS1,9240000,6
Marmosops incanus,DiencephalonStriatum_N.n,DosSantos_etal_2017_TableS1,3370000,6
Marmosops incanus,Mesencephalon_N.n,DosSantos_etal_2017_TableS1,3070000,6
Marmosops incanus,MesencephalonDiencephalonStriatum_N.n,DosSantos_etal_2017_TableS1,6440000,6
Marmosops incanus,PonsMedulla_N.n,DosSantos_etal_2017_TableS1,2800000,6
Marmosops incanus,OlfactoryBulb_N.n,DosSantos_etal_2017_TableS1,5520000,6
Marmosops incanus,CerebralCortex_N.p.mg,DosSantos_etal_2017_TableS1,50033,6
Marmosops incanus,CerebralCortexGrey_N.p.mg,DosSantos_etal_2017_TableS1,NA,6
Marmosops incanus,Hippocampus_N.p.mg,DosSantos_etal_2017_TableS1,43036,6
Marmosops incanus,Cerebellum_N.p.mg,DosSantos_etal_2017_TableS1,521513,6
Marmosops incanus,RoB_N.p.mg,DosSantos_etal_2017_TableS1,26857,6
Marmosops incanus,DiencephalonStriatum_N.p.mg,DosSantos_etal_2017_TableS1,32394,6
Marmosops incanus,Mesencephalon_N.p.mg,DosSantos_etal_2017_TableS1,33356,6
Marmosops incanus,MesencephalonDiencephalonStriatum_N.p.mg,DosSantos_etal_2017_TableS1,32846,6
Marmosops incanus,PonsMedulla_N.p.mg,DosSantos_etal_2017_TableS1,18926,6
Marmosops incanus,OlfactoryBulb_N.p.mg,DosSantos_etal_2017_TableS1,65674,6
Marmosops incanus,WholeBrain_O.p.N,DosSantos_etal_2017_TableS1,0.788,6
Marmosops incanus,CerebralCortex_O.p.N,DosSantos_etal_2017_TableS1,1.84,6
Marmosops incanus,CerebralCortexGrey_O.p.N,DosSantos_etal_2017_TableS1,NA,6
Marmosops incanus,Hippocampus_O.p.N,DosSantos_etal_2017_TableS1,1.43,6
Marmosops incanus,Cerebellum_O.p.N,DosSantos_etal_2017_TableS1,0.292,6
Marmosops incanus,RoB_O.p.N,DosSantos_etal_2017_TableS1,2.878,6
Marmosops incanus,DiencephalonStriatum_O.p.N,DosSantos_etal_2017_TableS1,2.695,6
Marmosops incanus,Mesencephalon_O.p.N,DosSantos_etal_2017_TableS1,2.316,6
Marmosops incanus,MesencephalonDiencephalonStriatum_O.p.N,DosSantos_etal_2017_TableS1,2.514,6
Marmosops incanus,PonsMedulla_O.p.N,DosSantos_etal_2017_TableS1,3.713,6
Marmosops incanus,OlfactoryBulb_O.p.N,DosSantos_etal_2017_TableS1,0.958,6
Metachirus nudicaudatus,Body_Mass.g,DosSantos_etal_2017_TableS1,407,6
Metachirus nudicaudatus,WholeBrain_Mass.g,DosSantos_etal_2017_TableS1,2.008,6
Metachirus nudicaudatus,CerebralCortex_Mass.g,DosSantos_etal_2017_TableS1,0.992,6
Metachirus nudicaudatus,Hippocampus_Mass.g,DosSantos_etal_2017_TableS1,0.144,6
Metachirus nudicaudatus,Cerebellum_Mass.g,DosSantos_etal_2017_TableS1,0.342,6
Metachirus nudicaudatus,RoB_Mass.g,DosSantos_etal_2017_TableS1,0.674,6
Metachirus nudicaudatus,DiencephalonStriatum_Mass.g,DosSantos_etal_2017_TableS1,0.234,6
Metachirus nudicaudatus,Mesencephalon_Mass.g,DosSantos_etal_2017_TableS1,0.158,6
Metachirus nudicaudatus,MesencephalonDiencephalonStriatum_Mass.g,DosSantos_etal_2017_TableS1,0.392,6
Metachirus nudicaudatus,PonsMedulla_Mass.g,DosSantos_etal_2017_TableS1,0.282,6
Metachirus nudicaudatus,OlfactoryBulb_Mass.g,DosSantos_etal_2017_TableS1,0.206,6
Metachirus nudicaudatus,WholeBrain_N.n,DosSantos_etal_2017_TableS1,165590000,6
Metachirus nudicaudatus,CerebralCortex_N.n,DosSantos_etal_2017_TableS1,20190000,6
Metachirus nudicaudatus,CerebralCortexGrey_N.n,DosSantos_etal_2017_TableS1,NA,6
Metachirus nudicaudatus,Hippocampus_N.n,DosSantos_etal_2017_TableS1,4190000,6
Metachirus nudicaudatus,Cerebellum_N.n,DosSantos_etal_2017_TableS1,134130000,6
Metachirus nudicaudatus,RoB_N.n,DosSantos_etal_2017_TableS1,11270000,6
Metachirus nudicaudatus,DiencephalonStriatum_N.n,DosSantos_etal_2017_TableS1,3890000,6
Metachirus nudicaudatus,Mesencephalon_N.n,DosSantos_etal_2017_TableS1,3620000,6
Metachirus nudicaudatus,MesencephalonDiencephalonStriatum_N.n,DosSantos_etal_2017_TableS1,7510000,6
Metachirus nudicaudatus,PonsMedulla_N.n,DosSantos_etal_2017_TableS1,3760000,6
Metachirus nudicaudatus,OlfactoryBulb_N.n,DosSantos_etal_2017_TableS1,31380000,6
Metachirus nudicaudatus,CerebralCortex_N.p.mg,DosSantos_etal_2017_TableS1,20354,6
Metachirus nudicaudatus,CerebralCortexGrey_N.p.mg,DosSantos_etal_2017_TableS1,NA,6
Metachirus nudicaudatus,Hippocampus_N.p.mg,DosSantos_etal_2017_TableS1,29109,6
Metachirus nudicaudatus,Cerebellum_N.p.mg,DosSantos_etal_2017_TableS1,392196,6
Metachirus nudicaudatus,RoB_N.p.mg,DosSantos_etal_2017_TableS1,16725,6
Metachirus nudicaudatus,DiencephalonStriatum_N.p.mg,DosSantos_etal_2017_TableS1,16618,6
Metachirus nudicaudatus,Mesencephalon_N.p.mg,DosSantos_etal_2017_TableS1,22926,6
Metachirus nudicaudatus,MesencephalonDiencephalonStriatum_N.p.mg,DosSantos_etal_2017_TableS1,19161,6
Metachirus nudicaudatus,PonsMedulla_N.p.mg,DosSantos_etal_2017_TableS1,13338,6
Metachirus nudicaudatus,OlfactoryBulb_N.p.mg,DosSantos_etal_2017_TableS1,152341,6
Metachirus nudicaudatus,WholeBrain_O.p.N,DosSantos_etal_2017_TableS1,0.916,6
Metachirus nudicaudatus,CerebralCortex_O.p.N,DosSantos_etal_2017_TableS1,3.199,6
Metachirus nudicaudatus,CerebralCortexGrey_O.p.N,DosSantos_etal_2017_TableS1,NA,6
Metachirus nudicaudatus,Hippocampus_O.p.N,DosSantos_etal_2017_TableS1,1.899,6
Metachirus nudicaudatus,Cerebellum_O.p.N,DosSantos_etal_2017_TableS1,0.24,6
Metachirus nudicaudatus,RoB_O.p.N,DosSantos_etal_2017_TableS1,4.878,6
Metachirus nudicaudatus,DiencephalonStriatum_O.p.N,DosSantos_etal_2017_TableS1,5.707,6
Metachirus nudicaudatus,Mesencephalon_O.p.N,DosSantos_etal_2017_TableS1,3.182,6
Metachirus nudicaudatus,MesencephalonDiencephalonStriatum_O.p.N,DosSantos_etal_2017_TableS1,4.489,6
Metachirus nudicaudatus,PonsMedulla_O.p.N,DosSantos_etal_2017_TableS1,5.653,6
Metachirus nudicaudatus,OlfactoryBulb_O.p.N,DosSantos_etal_2017_TableS1,0.647,6
Didelphis aurita,Body_Mass.g,DosSantos_etal_2017_TableS1,1200,6
Didelphis aurita,WholeBrain_Mass.g,DosSantos_etal_2017_TableS1,4.292,6
Didelphis aurita,CerebralCortex_Mass.g,DosSantos_etal_2017_TableS1,2.136,6
Didelphis aurita,Hippocampus_Mass.g,DosSantos_etal_2017_TableS1,0.386,6
Didelphis aurita,Cerebellum_Mass.g,DosSantos_etal_2017_TableS1,0.778,6
Didelphis aurita,RoB_Mass.g,DosSantos_etal_2017_TableS1,1.378,6
Didelphis aurita,DiencephalonStriatum_Mass.g,DosSantos_etal_2017_TableS1,0.36,6
Didelphis aurita,Mesencephalon_Mass.g,DosSantos_etal_2017_TableS1,0.5,6
Didelphis aurita,MesencephalonDiencephalonStriatum_Mass.g,DosSantos_etal_2017_TableS1,0.86,6
Didelphis aurita,PonsMedulla_Mass.g,DosSantos_etal_2017_TableS1,0.518,6
Didelphis aurita,OlfactoryBulb_Mass.g,DosSantos_etal_2017_TableS1,0.342,6
Didelphis aurita,WholeBrain_N.n,DosSantos_etal_2017_TableS1,392500000,6
Didelphis aurita,CerebralCortex_N.n,DosSantos_etal_2017_TableS1,42500000,6
Didelphis aurita,CerebralCortexGrey_N.n,DosSantos_etal_2017_TableS1,31490000,6
Didelphis aurita,Hippocampus_N.n,DosSantos_etal_2017_TableS1,7230000,6
Didelphis aurita,Cerebellum_N.n,DosSantos_etal_2017_TableS1,334260000,6
Didelphis aurita,RoB_N.n,DosSantos_etal_2017_TableS1,15730000,6
Didelphis aurita,DiencephalonStriatum_N.n,DosSantos_etal_2017_TableS1,5270000,6
Didelphis aurita,Mesencephalon_N.n,DosSantos_etal_2017_TableS1,6240000,6
Didelphis aurita,MesencephalonDiencephalonStriatum_N.n,DosSantos_etal_2017_TableS1,11510000,6
Didelphis aurita,PonsMedulla_N.n,DosSantos_etal_2017_TableS1,4220000,6
Didelphis aurita,OlfactoryBulb_N.n,DosSantos_etal_2017_TableS1,31340000,6
Didelphis aurita,CerebralCortex_N.p.mg,DosSantos_etal_2017_TableS1,19897,6
Didelphis aurita,CerebralCortexGrey_N.p.mg,DosSantos_etal_2017_TableS1,21901,6
Didelphis aurita,Hippocampus_N.p.mg,DosSantos_etal_2017_TableS1,18731,6
Didelphis aurita,Cerebellum_N.p.mg,DosSantos_etal_2017_TableS1,429647,6
Didelphis aurita,RoB_N.p.mg,DosSantos_etal_2017_TableS1,11417,6
Didelphis aurita,DiencephalonStriatum_N.p.mg,DosSantos_etal_2017_TableS1,14636,6
Didelphis aurita,Mesencephalon_N.p.mg,DosSantos_etal_2017_TableS1,12482,6
Didelphis aurita,MesencephalonDiencephalonStriatum_N.p.mg,DosSantos_etal_2017_TableS1,13384,6
Didelphis aurita,PonsMedulla_N.p.mg,DosSantos_etal_2017_TableS1,8152,6
Didelphis aurita,OlfactoryBulb_N.p.mg,DosSantos_etal_2017_TableS1,91646,6
Didelphis aurita,WholeBrain_O.p.N,DosSantos_etal_2017_TableS1,0.648,6
Didelphis aurita,CerebralCortex_O.p.N,DosSantos_etal_2017_TableS1,2.847,6
Didelphis aurita,CerebralCortexGrey_O.p.N,DosSantos_etal_2017_TableS1,2.35,6
Didelphis aurita,Hippocampus_O.p.N,DosSantos_etal_2017_TableS1,3.149,6
Didelphis aurita,Cerebellum_O.p.N,DosSantos_etal_2017_TableS1,0.122,6
Didelphis aurita,RoB_O.p.N,DosSantos_etal_2017_TableS1,5.873,6
Didelphis aurita,DiencephalonStriatum_O.p.N,DosSantos_etal_2017_TableS1,4.139,6
Didelphis aurita,Mesencephalon_O.p.N,DosSantos_etal_2017_TableS1,5.729,6
Didelphis aurita,MesencephalonDiencephalonStriatum_O.p.N,DosSantos_etal_2017_TableS1,5.001,6
Didelphis aurita,PonsMedulla_O.p.N,DosSantos_etal_2017_TableS1,8.251,6
Didelphis aurita,OlfactoryBulb_O.p.N,DosSantos_etal_2017_TableS1,1.273,6
Notamacropus parma,Body_Mass.g,DosSantos_etal_2017_TableS1,4268,6
Notamacropus parma,WholeBrain_Mass.g,DosSantos_etal_2017_TableS1,15.714,6
Notamacropus parma,CerebralCortex_Mass.g,DosSantos_etal_2017_TableS1,9.914,6
Notamacropus parma,Hippocampus_Mass.g,DosSantos_etal_2017_TableS1,1.238,6
Notamacropus parma,Cerebellum_Mass.g,DosSantos_etal_2017_TableS1,1.69,6
Notamacropus parma,RoB_Mass.g,DosSantos_etal_2017_TableS1,4.11,6
Notamacropus parma,DiencephalonStriatum_Mass.g,DosSantos_etal_2017_TableS1,NA,6
Notamacropus parma,Mesencephalon_Mass.g,DosSantos_etal_2017_TableS1,NA,6
Notamacropus parma,MesencephalonDiencephalonStriatum_Mass.g,DosSantos_etal_2017_TableS1,2.948,6
Notamacropus parma,PonsMedulla_Mass.g,DosSantos_etal_2017_TableS1,1.162,6
Notamacropus parma,OlfactoryBulb_Mass.g,DosSantos_etal_2017_TableS1,NA,6
Notamacropus parma,WholeBrain_N.n,DosSantos_etal_2017_TableS1,711130000,6
Notamacropus parma,CerebralCortex_N.n,DosSantos_etal_2017_TableS1,135620000,6
Notamacropus parma,CerebralCortexGrey_N.n,DosSantos_etal_2017_TableS1,117630000,6
Notamacropus parma,Hippocampus_N.n,DosSantos_etal_2017_TableS1,8480000,6
Notamacropus parma,Cerebellum_N.n,DosSantos_etal_2017_TableS1,558080000,6
Notamacropus parma,RoB_N.n,DosSantos_etal_2017_TableS1,17420000,6
Notamacropus parma,DiencephalonStriatum_N.n,DosSantos_etal_2017_TableS1,NA,6
Notamacropus parma,Mesencephalon_N.n,DosSantos_etal_2017_TableS1,NA,6
Notamacropus parma,MesencephalonDiencephalonStriatum_N.n,DosSantos_etal_2017_TableS1,12650000,6
Notamacropus parma,PonsMedulla_N.n,DosSantos_etal_2017_TableS1,4770000,6
Notamacropus parma,OlfactoryBulb_N.n,DosSantos_etal_2017_TableS1,NA,6
Notamacropus parma,CerebralCortex_N.p.mg,DosSantos_etal_2017_TableS1,13680,6
Notamacropus parma,CerebralCortexGrey_N.p.mg,DosSantos_etal_2017_TableS1,18707,6
Notamacropus parma,Hippocampus_N.p.mg,DosSantos_etal_2017_TableS1,6849,6
Notamacropus parma,Cerebellum_N.p.mg,DosSantos_etal_2017_TableS1,330225,6
Notamacropus parma,RoB_N.p.mg,DosSantos_etal_2017_TableS1,4238,6
Notamacropus parma,DiencephalonStriatum_N.p.mg,DosSantos_etal_2017_TableS1,NA,6
Notamacropus parma,Mesencephalon_N.p.mg,DosSantos_etal_2017_TableS1,NA,6
Notamacropus parma,MesencephalonDiencephalonStriatum_N.p.mg,DosSantos_etal_2017_TableS1,4290,6
Notamacropus parma,PonsMedulla_N.p.mg,DosSantos_etal_2017_TableS1,4107,6
Notamacropus parma,OlfactoryBulb_N.p.mg,DosSantos_etal_2017_TableS1,NA,6
Notamacropus parma,WholeBrain_O.p.N,DosSantos_etal_2017_TableS1,1.733,6
Notamacropus parma,CerebralCortex_O.p.N,DosSantos_etal_2017_TableS1,5.411,6
Notamacropus parma,CerebralCortexGrey_O.p.N,DosSantos_etal_2017_TableS1,3.494,6
Notamacropus parma,Hippocampus_O.p.N,DosSantos_etal_2017_TableS1,13.006,6
Notamacropus parma,Cerebellum_O.p.N,DosSantos_etal_2017_TableS1,0.447,6
Notamacropus parma,RoB_O.p.N,DosSantos_etal_2017_TableS1,19.221,6
Notamacropus parma,DiencephalonStriatum_O.p.N,DosSantos_etal_2017_TableS1,NA,6
Notamacropus parma,Mesencephalon_O.p.N,DosSantos_etal_2017_TableS1,NA,6
Notamacropus parma,MesencephalonDiencephalonStriatum_O.p.N,DosSantos_etal_2017_TableS1,20.645,6
Notamacropus parma,PonsMedulla_O.p.N,DosSantos_etal_2017_TableS1,15.447,6
Notamacropus parma,OlfactoryBulb_O.p.N,DosSantos_etal_2017_TableS1,NA,6
Sarcophilus harrisii,Body_Mass.g,DosSantos_etal_2017_TableS1,8200,6
Sarcophilus harrisii,WholeBrain_Mass.g,DosSantos_etal_2017_TableS1,9.802,6
Sarcophilus harrisii,CerebralCortex_Mass.g,DosSantos_etal_2017_TableS1,5.228,6
Sarcophilus harrisii,Hippocampus_Mass.g,DosSantos_etal_2017_TableS1,0.634,6
Sarcophilus harrisii,Cerebellum_Mass.g,DosSantos_etal_2017_TableS1,1.434,6
Sarcophilus harrisii,RoB_Mass.g,DosSantos_etal_2017_TableS1,3.14,6
Sarcophilus harrisii,DiencephalonStriatum_Mass.g,DosSantos_etal_2017_TableS1,1.348,6
Sarcophilus harrisii,Mesencephalon_Mass.g,DosSantos_etal_2017_TableS1,0.652,6
Sarcophilus harrisii,MesencephalonDiencephalonStriatum_Mass.g,DosSantos_etal_2017_TableS1,2,6
Sarcophilus harrisii,PonsMedulla_Mass.g,DosSantos_etal_2017_TableS1,1.14,6
Sarcophilus harrisii,OlfactoryBulb_Mass.g,DosSantos_etal_2017_TableS1,1.004,6
Sarcophilus harrisii,WholeBrain_N.n,DosSantos_etal_2017_TableS1,693690000,6
Sarcophilus harrisii,CerebralCortex_N.n,DosSantos_etal_2017_TableS1,71660000,6
Sarcophilus harrisii,CerebralCortexGrey_N.n,DosSantos_etal_2017_TableS1,50950000,6
Sarcophilus harrisii,Hippocampus_N.n,DosSantos_etal_2017_TableS1,12640000,6
Sarcophilus harrisii,Cerebellum_N.n,DosSantos_etal_2017_TableS1,601070000,6
Sarcophilus harrisii,RoB_N.n,DosSantos_etal_2017_TableS1,20970000,6
Sarcophilus harrisii,DiencephalonStriatum_N.n,DosSantos_etal_2017_TableS1,6180000,6
Sarcophilus harrisii,Mesencephalon_N.n,DosSantos_etal_2017_TableS1,8220000,6
Sarcophilus harrisii,MesencephalonDiencephalonStriatum_N.n,DosSantos_etal_2017_TableS1,14410000,6
Sarcophilus harrisii,PonsMedulla_N.n,DosSantos_etal_2017_TableS1,6560000,6
Sarcophilus harrisii,OlfactoryBulb_N.n,DosSantos_etal_2017_TableS1,100320000,6
Sarcophilus harrisii,CerebralCortex_N.p.mg,DosSantos_etal_2017_TableS1,13706,6
Sarcophilus harrisii,CerebralCortexGrey_N.p.mg,DosSantos_etal_2017_TableS1,14759,6
Sarcophilus harrisii,Hippocampus_N.p.mg,DosSantos_etal_2017_TableS1,19940,6
Sarcophilus harrisii,Cerebellum_N.p.mg,DosSantos_etal_2017_TableS1,419158,6
Sarcophilus harrisii,RoB_N.p.mg,DosSantos_etal_2017_TableS1,6677,6
Sarcophilus harrisii,DiencephalonStriatum_N.p.mg,DosSantos_etal_2017_TableS1,4587,6
Sarcophilus harrisii,Mesencephalon_N.p.mg,DosSantos_etal_2017_TableS1,12613,6
Sarcophilus harrisii,MesencephalonDiencephalonStriatum_N.p.mg,DosSantos_etal_2017_TableS1,7203,6
Sarcophilus harrisii,PonsMedulla_N.p.mg,DosSantos_etal_2017_TableS1,5754,6
Sarcophilus harrisii,OlfactoryBulb_N.p.mg,DosSantos_etal_2017_TableS1,99919,6
Sarcophilus harrisii,WholeBrain_O.p.N,DosSantos_etal_2017_TableS1,1.09,6
Sarcophilus harrisii,CerebralCortex_O.p.N,DosSantos_etal_2017_TableS1,5.112,6
Sarcophilus harrisii,CerebralCortexGrey_O.p.N,DosSantos_etal_2017_TableS1,3.727,6
Sarcophilus harrisii,Hippocampus_O.p.N,DosSantos_etal_2017_TableS1,4.537,6
Sarcophilus harrisii,Cerebellum_O.p.N,DosSantos_etal_2017_TableS1,0.224,6
Sarcophilus harrisii,RoB_O.p.N,DosSantos_etal_2017_TableS1,12.2,6
Sarcophilus harrisii,DiencephalonStriatum_O.p.N,DosSantos_etal_2017_TableS1,18.96,6
Sarcophilus harrisii,Mesencephalon_O.p.N,DosSantos_etal_2017_TableS1,6.675,6
Sarcophilus harrisii,MesencephalonDiencephalonStriatum_O.p.N,DosSantos_etal_2017_TableS1,11.948,6
Sarcophilus harrisii,PonsMedulla_O.p.N,DosSantos_etal_2017_TableS1,12.755,6
Sarcophilus harrisii,OlfactoryBulb_O.p.N,DosSantos_etal_2017_TableS1,1.004,6
Notamacropus rufogriseus,Body_Mass.g,DosSantos_etal_2017_TableS1,11110,6
Notamacropus rufogriseus,WholeBrain_Mass.g,DosSantos_etal_2017_TableS1,26.994,6
Notamacropus rufogriseus,CerebralCortex_Mass.g,DosSantos_etal_2017_TableS1,16.102,6
Notamacropus rufogriseus,Hippocampus_Mass.g,DosSantos_etal_2017_TableS1,1.796,6
Notamacropus rufogriseus,Cerebellum_Mass.g,DosSantos_etal_2017_TableS1,3.572,6
Notamacropus rufogriseus,RoB_Mass.g,DosSantos_etal_2017_TableS1,7.32,6
Notamacropus rufogriseus,DiencephalonStriatum_Mass.g,DosSantos_etal_2017_TableS1,NA,6
Notamacropus rufogriseus,Mesencephalon_Mass.g,DosSantos_etal_2017_TableS1,NA,6
Notamacropus rufogriseus,MesencephalonDiencephalonStriatum_Mass.g,DosSantos_etal_2017_TableS1,5.93,6
Notamacropus rufogriseus,PonsMedulla_Mass.g,DosSantos_etal_2017_TableS1,1.39,6
Notamacropus rufogriseus,OlfactoryBulb_Mass.g,DosSantos_etal_2017_TableS1,NA,6
Notamacropus rufogriseus,WholeBrain_N.n,DosSantos_etal_2017_TableS1,1.32e+09,6
Notamacropus rufogriseus,CerebralCortex_N.n,DosSantos_etal_2017_TableS1,256780000,6
Notamacropus rufogriseus,CerebralCortexGrey_N.n,DosSantos_etal_2017_TableS1,207740000,6
Notamacropus rufogriseus,Hippocampus_N.n,DosSantos_etal_2017_TableS1,10770000,6
Notamacropus rufogriseus,Cerebellum_N.n,DosSantos_etal_2017_TableS1,1020000000,6
Notamacropus rufogriseus,RoB_N.n,DosSantos_etal_2017_TableS1,42480000,6
Notamacropus rufogriseus,DiencephalonStriatum_N.n,DosSantos_etal_2017_TableS1,NA,6
Notamacropus rufogriseus,Mesencephalon_N.n,DosSantos_etal_2017_TableS1,NA,6
Notamacropus rufogriseus,MesencephalonDiencephalonStriatum_N.n,DosSantos_etal_2017_TableS1,35060000,6
Notamacropus rufogriseus,PonsMedulla_N.n,DosSantos_etal_2017_TableS1,7420000,6
Notamacropus rufogriseus,OlfactoryBulb_N.n,DosSantos_etal_2017_TableS1,NA,6
Notamacropus rufogriseus,CerebralCortex_N.p.mg,DosSantos_etal_2017_TableS1,15947,6
Notamacropus rufogriseus,CerebralCortexGrey_N.p.mg,DosSantos_etal_2017_TableS1,21631,6
Notamacropus rufogriseus,Hippocampus_N.p.mg,DosSantos_etal_2017_TableS1,5999,6
Notamacropus rufogriseus,Cerebellum_N.p.mg,DosSantos_etal_2017_TableS1,286273,6
Notamacropus rufogriseus,RoB_N.p.mg,DosSantos_etal_2017_TableS1,5803,6
Notamacropus rufogriseus,DiencephalonStriatum_N.p.mg,DosSantos_etal_2017_TableS1,NA,6
Notamacropus rufogriseus,Mesencephalon_N.p.mg,DosSantos_etal_2017_TableS1,NA,6
Notamacropus rufogriseus,MesencephalonDiencephalonStriatum_N.p.mg,DosSantos_etal_2017_TableS1,5912,6
Notamacropus rufogriseus,PonsMedulla_N.p.mg,DosSantos_etal_2017_TableS1,5336,6
Notamacropus rufogriseus,OlfactoryBulb_N.p.mg,DosSantos_etal_2017_TableS1,NA,6
Notamacropus rufogriseus,WholeBrain_O.p.N,DosSantos_etal_2017_TableS1,1.629,6
Notamacropus rufogriseus,CerebralCortex_O.p.N,DosSantos_etal_2017_TableS1,4.545,6
Notamacropus rufogriseus,CerebralCortexGrey_O.p.N,DosSantos_etal_2017_TableS1,2.589,6
Notamacropus rufogriseus,Hippocampus_O.p.N,DosSantos_etal_2017_TableS1,14.221,6
Notamacropus rufogriseus,Cerebellum_O.p.N,DosSantos_etal_2017_TableS1,0.289,6
Notamacropus rufogriseus,RoB_O.p.N,DosSantos_etal_2017_TableS1,12.462,6
Notamacropus rufogriseus,DiencephalonStriatum_O.p.N,DosSantos_etal_2017_TableS1,NA,6
Notamacropus rufogriseus,Mesencephalon_O.p.N,DosSantos_etal_2017_TableS1,NA,6
Notamacropus rufogriseus,MesencephalonDiencephalonStriatum_O.p.N,DosSantos_etal_2017_TableS1,11.579,6
Notamacropus rufogriseus,PonsMedulla_O.p.N,DosSantos_etal_2017_TableS1,16.637,6
Notamacropus rufogriseus,OlfactoryBulb_O.p.N,DosSantos_etal_2017_TableS1,NA,6
Wallabia bicolor,Body_Mass.g,DosSantos_etal_2017_TableS1,12066,6
Wallabia bicolor,WholeBrain_Mass.g,DosSantos_etal_2017_TableS1,30.012,6
Wallabia bicolor,CerebralCortex_Mass.g,DosSantos_etal_2017_TableS1,15.182,6
Wallabia bicolor,Hippocampus_Mass.g,DosSantos_etal_2017_TableS1,1.566,6
Wallabia bicolor,Cerebellum_Mass.g,DosSantos_etal_2017_TableS1,4.42,6
Wallabia bicolor,RoB_Mass.g,DosSantos_etal_2017_TableS1,10.41,6
Wallabia bicolor,DiencephalonStriatum_Mass.g,DosSantos_etal_2017_TableS1,NA,6
Wallabia bicolor,Mesencephalon_Mass.g,DosSantos_etal_2017_TableS1,NA,6
Wallabia bicolor,MesencephalonDiencephalonStriatum_Mass.g,DosSantos_etal_2017_TableS1,6.396,6
Wallabia bicolor,PonsMedulla_Mass.g,DosSantos_etal_2017_TableS1,4.014,6
Wallabia bicolor,OlfactoryBulb_Mass.g,DosSantos_etal_2017_TableS1,NA,6
Wallabia bicolor,WholeBrain_N.n,DosSantos_etal_2017_TableS1,1.44e+09,6
Wallabia bicolor,CerebralCortex_N.n,DosSantos_etal_2017_TableS1,208110000,6
Wallabia bicolor,CerebralCortexGrey_N.n,DosSantos_etal_2017_TableS1,170420000,6
Wallabia bicolor,Hippocampus_N.n,DosSantos_etal_2017_TableS1,12970000,6
Wallabia bicolor,Cerebellum_N.n,DosSantos_etal_2017_TableS1,1200000000,6
Wallabia bicolor,RoB_N.n,DosSantos_etal_2017_TableS1,31860000,6
Wallabia bicolor,DiencephalonStriatum_N.n,DosSantos_etal_2017_TableS1,NA,6
Wallabia bicolor,Mesencephalon_N.n,DosSantos_etal_2017_TableS1,NA,6
Wallabia bicolor,MesencephalonDiencephalonStriatum_N.n,DosSantos_etal_2017_TableS1,21350000,6
Wallabia bicolor,PonsMedulla_N.n,DosSantos_etal_2017_TableS1,10510000,6
Wallabia bicolor,OlfactoryBulb_N.n,DosSantos_etal_2017_TableS1,NA,6
Wallabia bicolor,CerebralCortex_N.p.mg,DosSantos_etal_2017_TableS1,13708,6
Wallabia bicolor,CerebralCortexGrey_N.p.mg,DosSantos_etal_2017_TableS1,17322,6
Wallabia bicolor,Hippocampus_N.p.mg,DosSantos_etal_2017_TableS1,8283,6
Wallabia bicolor,Cerebellum_N.p.mg,DosSantos_etal_2017_TableS1,270575,6
Wallabia bicolor,RoB_N.p.mg,DosSantos_etal_2017_TableS1,3061,6
Wallabia bicolor,DiencephalonStriatum_N.p.mg,DosSantos_etal_2017_TableS1,NA,6
Wallabia bicolor,Mesencephalon_N.p.mg,DosSantos_etal_2017_TableS1,NA,6
Wallabia bicolor,MesencephalonDiencephalonStriatum_N.p.mg,DosSantos_etal_2017_TableS1,3339,6
Wallabia bicolor,PonsMedulla_N.p.mg,DosSantos_etal_2017_TableS1,2619,6
Wallabia bicolor,OlfactoryBulb_N.p.mg,DosSantos_etal_2017_TableS1,NA,6
Wallabia bicolor,WholeBrain_O.p.N,DosSantos_etal_2017_TableS1,1.407,6
Wallabia bicolor,CerebralCortex_O.p.N,DosSantos_etal_2017_TableS1,4.955,6
