Species	Author	Sex	Body_weight_g	Brain_weight_g	Origin_of_data
Pongo sp.	Crisp 1865	j	9157	297.7	
Pongo sp.	Deniker and Boulart 1894	?	73000	400	Milne-Edwards?
Pongo sp.	Deniker and Boulart 1894	Mj	7500	365	
Pongo sp.	Keith 1895	M	7600	340.2	Manouvrier
Pongo sp.	Keith 1895	M	18600	325.1	Rolleston 1861
Pongo sp.	Keith 1895	M	73500	400	Owen
Pongo sp.	Keith 1895	F	3170	248	Milne-Edwards
Pongo sp.	Keith 1895	M		283.5	
Pongo sp.	Keith 1895	M		425.8	Chapman 1880-81
Pongo sp.	Keith 1895	M		470	Owen
Pongo sp.	Keith 1895	F		395	Milne-Edwards
Pongo sp.	Keith 1895	?		288.5	Owen; cranial capacities (cm³)
Pongo sp.	Weber 1897	Mj	5925	334.5	Owen
Pongo sp.	Weber 1897	M	7600	340	
Pongo sp.	Weber 1897	Mj	8830	339	Rolleston, 1861
Pongo sp.	Weber 1897	M	11275	375	
Pongo sp.	Weber 1897	M	73500	400	Deniker and Boulart 1895
Pongo sp.	Weber 1897	M	76500	395	Fick 1895a
Pongo sp.	Weber 1897	F	18593.5	315.5	
Pongo sp.	Weber 1897	F	20200	306	
Pongo sp.	Warncke 1908	?	18000	333	Kohlbrugge
Pongo sp.	Warncke 1908	Mj	7665	365	Manouvrier
Pongo sp.	Warncke 1908	Mj		334	Kohlbrugge
Pongo sp.	Warncke 1908	M	53600	400	Milne-Edwards
Pongo sp.	Warncke 1908	M	73200	400	Deniker and Boulart 1895
Pongo sp.	Warncke 1908	M		283.5	Chapman 1880-81
Pongo sp.	Warncke 1908	Mj		325.1	Owen
Pongo sp.	Warncke 1908	M		339	Weber 1896
Pongo sp.	Warncke 1908	Mj		340.2	Rolleston 1861
Pongo sp.	Warncke 1908	Mj		381	
Pongo sp.	Warncke 1908	Fj		225	Bischoff
Pongo sp.	Warncke 1908	Fj		248	Keith
Pongo sp.	Warncke 1908	F		306	Weber 1896
Pongo sp.	Lapicque 1907	?	73500	400	Deniker and Boulart; also Dubois 1914, Anthony 1928, Brummelkamp 1940. See Bauchot and Stephan 1969
Pongo sp.	Filimonoff 1933	?		350	
Pongo sp.	Filimonoff 1933	?		350	
Pongo sp.	Filimonoff 1933	?		390	
Pongo sp.	Filimonoff 1933	?		360	
Pongo sp.	Henneberg 1910	?		79.7	
Pongo sp.	Hrdlicka 1925	M	49895	347.5	
Pongo sp.	Hrdlicka 1925	M	54431	371	
Pongo sp.	Hrdlicka 1925	M	63503	368	
Pongo sp.	Hrdlicka 1925	M	72575	326	
Pongo sp.	Hrdlicka 1925	M	79379	422	
Pongo sp.	Hrdlicka 1925	M	83915	384	
Pongo sp.	Hrdlicka 1925	M	86183	359	
Pongo sp.	Hrdlicka 1925	M	90720	395	
Pongo sp.	Hrdlicka 1925	F	32659	322	
Pongo sp.	Hrdlicka 1925	F	32659	326	
Pongo sp.	Hrdlicka 1925	F	34019	291	
Pongo sp.	Hrdlicka 1925	F	34474	267	
Pongo sp.	Hrdlicka 1925	F	35834	279	
Pongo sp.	Hrdlicka 1925	F	36287	274.5	
Pongo sp.	Hrdlicka 1925	F	36288	283	
Pongo sp.	Hrdlicka 1925	F	36741	304	
Pongo sp.	Hrdlicka 1925	F	37195	344	
Pongo sp.	Hrdlicka 1925	F	39917	340.5	
Pongo sp.	Hrdlicka 1925	F	44452	287.5	
Pongo sp.	Kappers 1926	?		293	See Bauchot and Stephan 1969
Pongo sp.	Kappers 1927	?		295	Weber, Deniker, and Boulart; Milne-Edwards; Fick
Pongo sp.	Putnam 1927	?		212.86	See Bauchot and Stephan 1969
Pongo sp.	Putnam 1927	?		222.2	
Pongo sp.	Leboucqu 1928	M		370	See Bauchot and Stephan 1969
Pongo sp.	Tilney and Riley 1928	?		246	
Pongo sp.	Bonin 1937	?	63400	400	
Pongo sp.	Schultz 1940	M	79300	444	
Pongo sp.	Schultz 1940	F	1500	129.15	
Pongo sp.	Schultz 1940	F	9980	359	See Bauchot and Stephan 1969
Pongo sp.	Schultz 1940	F	36900	343	
Pongo sp.	Schultz 1940	F?	32500	341	
Pongo sp.	Schultz 1940	?	4060	308.6	
Pongo sp.	Kennard and Willner 1941	M	4500	325	
Pongo sp.	Kennard and Willner 1941	M	6700	353	See Bauchot and Stephan 1969
Pongo sp.	Kennard and Willner 1941	F	25200	340	
Pongo sp.	Kennard and Willner 1941	F	30000	315	
Pongo sp.	Count 1947	M	72575	371.6	See Bauchot and Stephan 1969
Pongo sp.	Count 1947	F	36439	299.8	
Pongo sp.	Connolly 1950	Mj	5415	337.5	
Pongo sp.	Connolly 1950	Mj	7554	284	Presumably the same material as Hrdlicka 1925
Pongo sp.	Connolly 1950	M	56782	361.2	
Pongo sp.	Connolly 1950	Fj	27745	262.6	
Pongo sp.	Connolly 1950	F	33972	302.8999999999999	
Pongo sp.	Hopf 1965	M	73000	400	
Pongo sp.	Napier and Napier 1967	M	69000		
Pongo sp.	Napier and Napier 1967	F	37000		
Pongo sp.	Walker 1975	M	75000		
Pongo sp.	Walker 1975	F	40000		
