"Species"	"group"	"n"	"body_weight_g"	"IOPr_mm3"	"IOAcMed_mm3"	"IOAcDors_mm3"	"IOAc_mm3"	"activity_time"	"diet"	"locomotor_type"
"Macaca mulatta"	"Old World monkey"	2	7800	26.6	8.73	6.93	15.7	"D"	"Fru"	"OTQ"
"Cercocebus albigena"	"Old World monkey"	2	7900	20.2	9.51	5.62	15.1	"D"	"Fru"	"OAQ"
"Papio anubis"	"Old World monkey"	2	25000	26.8	16.1	9.25	25.4	"D"	"Fru"	"OTQ"
"Cercopithecus ascanius"	"Old World monkey"	2	3400	15.0	6.53	4.38	10.9	"D"	"Fru"	"OAQ"
"Cercopithecus mitis"	"Old World monkey"	1	6300	13.2	7.41	3.48	10.9	"D"	"Fru"	"OAQ"
"Miopithecus talapoin"	"Old World monkey"	2	1200	9.24	4.36	3.11	7.47	"D"	"Fru"	"OAQ"
"Erythrocebus patas"	"Old World monkey"	2	7800	14.7	7.10	5.50	12.6	"D"	"Fru"	"OTQ"
"Colobus badius"	"Old World monkey"	2	7000	18.0	6.43	3.47	9.90	"D"	"Fol"	"OSB"
"Pygathrix nemaeus"	"Old World monkey"	1	7500	20.6	7.34	4.37	11.7	"D"	"Fol"	"OSB"
"Nasalis larvatus"	"Old World monkey"	1	14000	33.0	10.8	6.65	17.5	"D"	"Fol"	"OSB"
